problem_name,objective_func,best_find_time,elapsed_time
SE_7,0.0694787699169069,0.282,31.296
SE_8,1.3664873250361927e-06,0.156,31.264
SE_9,4.1421339229226336e-05,0.391,31.452
SS_1,0.6862612115093585,0.047,31.093
SS_10,0.622626207445207,0.031,31.045
SS_11,0.7169291427821582,0.157,31.171
SS_12,0.5830418946241737,15.187,46.248
SS_13,0.7208763947373152,0.156,31.249
SS_14,0.7405304755056641,0.031,31.108
SS_15,0.5145464988282671,0.031,31.108
SS_16,0.5328605367375109,0.031,31.108
SS_17,0.5468045755039951,0.141,31.155
SS_18,0.5856090546954922,0.156,31.187
SS_19,0.6613528957737007,0.141,31.186
SS_2,0.6964973625373844,0.141,31.233
SS_20,0.40079028804818745,0.25,31.358
SS_3,0.788516149300125,0.141,31.202
SS_4,0.7522102774259882,0.266,31.296
SS_5,0.5277229900836052,0.265,31.295
SS_6,0.7874032564534267,0.031,31.155
SS_7,0.7402510037430936,0.031,31.046
SS_8,0.5976388877338968,0.031,31.092
SS_9,0.6081300448560779,2.516,33.624
