problem_name,objective_func,elapsed_time
SB_1,0.49405569894809853,6.343
SB_10,0.48741680658632974,5.109
SB_11,0.4200624049236668,4.781
SB_12,0.48734800603922646,3.859
SB_13,0.4818690781020142,3.984
SB_14,0.4543792661134585,4.438
SB_15,0.44837637560523347,3.672
SB_16,0.7152872867043486,4.812
SB_17,0.5532712271675648,3.922
SB_18,0.35629819846103594,3.719
SB_19,0.3908147568556018,3.312
SB_2,0.4281530004219767,3.422
SB_20,0.5202131669842587,3.546
SB_3,0.33081196303225424,3.735
SB_4,0.4152494875525984,3.828
SB_5,0.592614917156829,3.859
SB_6,0.43644947471797413,3.5
SB_7,0.43812608539496634,3.282
SB_8,0.33670301699619715,3.343
SB_9,0.4760669154837432,3.453
SE_1,5.993419548929329e-07,3.656
SE_10,1.1243789551649234e-08,3.735
SE_11,0.31065126373232643,3.624
SE_12,0.0003006252444273611,3.375
SE_13,0.0004448567755094607,3.484
SE_14,4.2931628191603964e-06,3.672
SE_15,3.2731697819272535e-09,3.797
SE_16,1.4023203523838066e-05,3.39
SE_17,0.0002736658508133535,3.391
SE_18,3.6356077324574324e-05,3.593
SE_19,4.934030162140542e-06,3.75
SE_2,0.20942875499886038,3.859
SE_20,0.000963522736776265,3.422
SE_3,3.4602013346442506e-11,3.328
SE_4,0.00022210078213386232,3.531
SE_5,0.0018221396201544627,3.734
SE_6,1.412170832032305e-07,3.735
SE_7,0.0694787699169069,3.812
SE_8,1.3664873250361927e-06,3.406
SE_9,4.1421339229226336e-05,3.406
SS_1,0.6862612115093585,3.375
SS_10,0.622626207445207,3.688
SS_11,0.7169291427821582,3.734
SS_12,0.5830418946241737,3.437
SS_13,0.7208763947373152,3.422
SS_14,0.7405304755056641,3.234
SS_15,0.5145464988282671,3.719
SS_16,0.5328605367375109,3.484
SS_17,0.5468045755039952,3.641
SS_18,0.5856090546954922,3.609
SS_19,0.6613528957737007,3.343
SS_2,0.6964973625373844,3.578
SS_20,0.40079028804818745,3.359
SS_3,0.788516149300125,3.313
SS_4,0.7522102774259882,3.5
SS_5,0.5277229900836052,3.781
SS_6,0.7874032564534267,3.469
SS_7,0.7402510037430936,3.719
SS_8,0.5976388877338968,3.609
SS_9,0.6081300448560779,3.875
