problem_name,objective_func,elapsed_time
LB_1,0.9037892473583747,0.188
LB_10,0.9103366499161757,0.047
LB_11,0.815104831233341,0.032
LB_12,0.7786151315923417,0.032
LB_13,0.7804687890292112,0.031
LB_14,0.8583890259365731,0.047
LB_15,0.6937519563185809,0.047
LB_16,0.710441214808326,0.031
LB_17,0.8677522630605863,0.032
LB_18,0.6629119702879713,0.047
LB_19,0.7752865486383667,0.031
LB_2,0.7606769788388468,0.016
LB_20,0.6667792022605141,0.031
LB_3,0.8237058573544754,0.031
LB_4,0.8602484528036233,0.031
LB_5,0.6317686115758065,0.031
LB_6,0.7777615995621099,0.032
LB_7,0.9045256009177738,0.031
LB_8,0.8331598926463345,0.032
LB_9,0.696635973689696,0.031
LE_1,1.7917984142393802e-08,0.015
LE_10,2.844889352033025e-18,0.031
LE_11,4.732617675187467e-15,0.032
LE_12,3.0691768030257274e-08,0.015
LE_13,1.1142167985660733e-18,0.016
LE_14,2.0607943554493594e-14,0.031
LE_15,2.6447828869787798e-17,0.031
LE_16,3.5747291255954185e-08,0.031
LE_17,7.373983765875459e-25,0.032
LE_18,2.346704179681814e-19,0.015
LE_19,5.67673876731001e-10,0.015
LE_2,2.5119103974395034e-14,0.032
LE_20,3.0583439500822607e-09,0.015
LE_3,2.9130201546169836e-18,0.016
LE_4,2.2554778349663123e-10,0.031
LE_5,1.373321262808769e-07,0.031
LE_6,9.014402717571634e-14,0.031
LE_7,4.01513437405085e-15,0.016
LE_8,2.1112483426716163e-13,0.015
LE_9,2.647636168534887e-24,0.031
LS_1,0.9298574549721628,0.032
LS_10,0.9314214796187659,0.031
LS_11,0.8893583765215313,0.031
LS_12,0.889130744388521,0.031
LS_13,0.9014215080096921,0.032
LS_14,0.9143021571725117,0.032
LS_15,0.7964903275268937,0.031
LS_16,0.8918142135960798,0.031
LS_17,0.9541473638182124,0.062
LS_18,0.8523137135211754,0.031
LS_19,0.9178740770141349,0.032
LS_2,0.773127388820938,0.047
LS_20,0.893064572884007,0.031
LS_3,0.8760392831353038,0.031
LS_4,0.8713851754846875,0.015
LS_5,0.9530256203277524,0.031
LS_6,0.873773154755518,0.031
