problem_name,objective_func,elapsed_time
SB_9,0.8021447251165398,0.0
SE_1,1.1874036123367797e-08,0.0
SE_10,9.251248815069058e-07,0.0
SE_11,0.0051707829290023105,0.0
SE_12,0.12367097422596349,0.0
SE_13,0.00010318432268170105,0.0
SE_14,8.574157211784766e-05,0.0
SE_15,5.6249697990866125e-09,0.0
SE_16,0.003241637306947964,0.0
SE_17,0.00020075943559874,0.0
SE_18,3.5890224875631954e-10,0.0
SE_19,2.6468294978068673e-08,0.0
SE_2,2.102396194590741e-08,0.0
SE_20,3.0315414547362696e-07,0.0
SE_3,0.0003744110757668333,0.0
SE_4,0.014245745885803582,0.0
SE_5,1.559608341908617e-05,0.0
SE_6,0.00015472014177293506,0.0
SE_7,1.8351070153181996e-09,0.0
SE_8,0.00021474461172618037,0.0
SE_9,0.00037990779084429014,0.0
SS_1,0.8957609327247081,0.0
SS_10,0.8696815609472117,0.0
SS_11,0.9349211808460902,0.0
SS_12,0.921448277840909,0.0
SS_13,0.9020282603318012,0.0
SS_14,0.844362923868444,0.0
SS_15,0.8086341398754424,0.0
SS_16,0.9263713761598364,0.0
SS_17,0.87361332723984,0.0
SS_18,0.8839927434220619,0.0
SS_19,0.824718248610413,0.015
SS_2,0.870669592470702,0.0
SS_20,0.8581426808906087,0.0
SS_3,0.8712579796614934,0.0
SS_4,0.9416390038556386,0.0
SS_5,0.8749154703594765,0.0
SS_6,0.9215457824428701,0.0
SS_7,0.880797315316498,0.0
SS_8,0.8977945813885595,0.0
SS_9,0.890812226196814,0.0
